age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,0,1,1,no,2343,1,0,2,5,8,1042,1,-1,0,3,1
56,0,1,1,no,45,0,0,2,5,8,1467,1,-1,0,3,1
41,9,1,1,no,1270,1,0,2,5,8,1389,1,-1,0,3,1
55,7,1,1,no,2476,1,0,2,5,8,579,1,-1,0,3,1
54,0,1,2,no,184,0,0,2,5,8,673,2,-1,0,3,1
42,4,2,2,no,0,1,1,2,5,8,562,2,-1,0,3,1
56,4,1,2,no,830,1,1,2,6,8,1201,1,-1,0,3,1
60,5,0,1,no,545,1,0,2,6,8,1030,1,-1,0,3,1
37,9,1,1,no,1,1,0,2,6,8,608,1,-1,0,3,1
28,7,2,1,no,5090,1,0,2,6,8,1297,3,-1,0,3,1
38,0,2,1,no,100,1,0,2,7,8,786,1,-1,0,3,1
30,1,1,1,no,309,1,0,2,7,8,1574,2,-1,0,3,1
29,4,1,2,no,199,1,1,2,7,8,1689,4,-1,0,3,1
46,1,2,2,no,460,1,0,2,7,8,1102,2,-1,0,3,1
31,9,2,2,no,703,1,0,2,8,8,943,2,-1,0,3,1
35,4,0,2,no,3837,1,0,2,8,8,1084,1,-1,0,3,1
32,1,2,0,no,611,1,0,2,8,8,541,3,-1,0,3,1
49,7,1,1,no,-8,1,0,2,8,8,1119,1,-1,0,3,1
41,0,1,1,no,55,1,0,2,8,8,1120,2,-1,0,3,1
49,0,0,1,no,168,1,1,2,8,8,513,1,-1,0,3,1
28,0,0,1,no,785,1,0,2,8,8,442,2,-1,0,3,1
43,4,2,2,no,2067,1,0,2,8,8,756,1,-1,0,3,1
43,4,0,2,no,388,1,0,2,8,8,2087,2,-1,0,3,1
43,1,1,0,no,-192,1,0,2,8,8,1120,2,-1,0,3,1
37,10,2,1,no,381,1,0,2,8,8,985,2,-1,0,3,1
35,1,2,1,no,40,1,0,2,9,8,617,4,-1,0,3,1
31,9,2,2,no,22,1,0,2,9,8,483,3,-1,0,3,1
43,1,2,1,no,3,1,0,2,9,8,929,3,-1,0,3,1
31,0,1,1,no,307,1,0,2,9,8,538,1,-1,0,3,1
28,1,2,1,no,759,1,0,2,9,8,710,1,-1,0,3,1
32,1,1,1,yes,-1,1,0,2,9,8,653,1,-1,0,3,1
60,9,1,0,no,65,1,0,2,9,8,1028,2,-1,0,3,1
26,1,2,1,no,82,1,0,2,9,8,654,1,-1,0,3,1
40,1,1,1,no,10,1,0,2,9,8,1692,2,-1,0,3,1
33,1,0,0,no,390,1,0,2,9,8,665,2,-1,0,3,1
32,4,2,2,no,311,0,0,2,12,8,757,2,-1,0,3,1
35,1,1,0,no,414,0,0,2,13,8,504,4,-1,0,3,1
33,4,0,1,no,5,1,0,2,13,8,1346,1,-1,0,3,1
38,4,1,2,no,119,1,0,2,13,8,568,4,-1,0,3,1
23,2,2,0,no,4,1,0,2,13,8,395,2,-1,0,3,1
60,1,1,0,no,1262,1,1,2,13,8,1015,1,-1,0,3,1
48,4,1,2,no,1949,1,0,2,13,8,683,2,-1,0,3,1
45,2,0,2,no,-395,1,0,2,13,8,470,1,-1,0,3,1
36,1,1,1,no,1165,1,0,2,13,8,1001,4,-1,0,3,1
52,4,1,3,no,2240,1,0,2,13,8,845,1,-1,0,3,1
35,1,0,0,no,300,1,0,2,13,8,945,2,-1,0,3,1
43,9,1,1,no,3285,1,0,2,13,8,1721,2,-1,0,3,1
52,3,1,1,no,3923,1,0,2,14,8,942,3,-1,0,3,1
53,9,0,0,no,1443,1,0,2,14,8,476,1,-1,0,3,1
48,1,0,0,no,24,1,0,2,14,8,832,1,-1,0,3,1
41,1,2,0,no,1618,1,0,2,14,8,1553,1,-1,0,3,1
39,4,0,2,no,517,1,1,2,14,8,1328,1,-1,0,3,1
59,5,1,1,no,1521,1,1,2,14,8,1125,2,-1,0,3,1
41,1,1,1,no,2823,1,0,2,14,8,858,1,-1,0,3,1
48,1,1,1,no,1405,1,0,2,14,8,629,2,-1,0,3,1
40,0,1,1,no,1535,1,0,2,14,8,704,1,-1,0,3,1
48,1,1,1,no,1596,1,0,2,14,8,760,1,-1,0,3,1
60,5,1,0,no,1542,1,0,2,14,8,930,1,-1,0,3,1
40,9,2,3,no,3652,1,0,2,14,8,1028,2,-1,0,3,1
57,9,1,2,no,-1,0,0,2,14,8,850,2,-1,0,3,1
51,1,1,1,no,7180,1,0,2,14,8,927,1,-1,0,3,1
41,1,0,1,no,5291,1,0,2,14,8,1423,3,-1,0,3,1
41,1,1,1,no,1384,1,0,2,15,8,1162,4,-1,0,3,1
52,1,0,0,no,-191,1,0,2,15,8,755,1,-1,0,3,1
59,1,1,0,no,320,1,0,2,15,8,695,1,-1,0,3,1
44,1,1,3,no,146,1,0,2,15,8,483,1,-1,0,3,1
49,11,1,0,no,341,1,1,2,15,8,520,2,-1,0,3,1
40,7,1,0,no,-9,1,0,2,15,8,920,2,-1,0,3,1
41,0,1,0,no,-306,1,0,2,15,8,500,1,-1,0,3,1
44,9,1,2,no,4580,1,0,2,15,8,911,2,-1,0,3,1
60,7,2,0,no,313,1,0,2,15,8,920,2,-1,0,3,1
29,4,1,2,no,10576,0,0,2,15,8,1224,2,-1,0,3,1
41,5,0,0,no,-233,1,0,2,15,8,1156,2,-1,0,3,1
41,1,1,0,no,2453,1,0,2,15,8,1052,1,-1,0,3,1
42,9,2,1,no,1364,1,0,2,15,8,1867,6,-1,0,3,1
36,7,2,3,no,281,1,0,2,16,8,515,1,-1,0,3,1
39,9,1,2,no,94,1,1,2,16,8,813,1,-1,0,3,1
31,6,2,2,no,144,1,0,2,16,8,676,1,-1,0,3,1
26,1,1,1,no,246,1,0,2,16,8,1143,3,-1,0,3,1
31,1,1,1,no,92,1,0,2,16,8,688,1,-1,0,3,1
29,0,2,1,no,163,1,1,2,16,8,803,1,-1,0,3,1
37,7,0,1,no,49,1,0,2,16,8,619,2,-1,0,3,1
33,1,2,1,no,-416,1,0,2,16,8,767,2,-1,0,3,1
24,9,2,1,no,409,1,0,2,16,8,912,1,-1,0,3,1
50,0,0,1,no,363,1,0,2,16,8,1340,1,-1,0,3,1
27,9,2,2,no,3706,1,0,2,16,8,897,1,-1,0,3,1
54,4,2,2,no,4393,1,0,2,16,8,1297,3,-1,0,3,1
30,9,2,1,no,863,1,0,2,16,8,1193,5,-1,0,3,1
34,1,1,0,no,695,1,1,2,16,8,1064,4,-1,0,3,1
37,4,2,1,no,792,1,0,2,16,8,1187,4,-1,0,3,1
41,0,2,1,no,1020,1,0,2,19,8,882,1,-1,0,3,1
47,1,1,1,no,863,1,0,2,19,8,943,2,-1,0,3,1
31,0,1,1,no,97,1,0,2,19,8,607,1,-1,0,3,1
31,1,1,1,no,754,1,0,2,19,8,1022,4,-1,0,3,1
43,7,0,1,no,1040,1,0,2,19,8,552,3,-1,0,3,1
37,4,0,2,no,122,1,0,2,19,8,1622,2,-1,0,3,1
30,9,2,2,no,880,1,1,2,19,8,967,6,-1,0,3,1
41,9,1,1,no,501,1,0,2,19,8,579,5,-1,0,3,1
36,1,1,1,no,4438,1,0,2,20,8,446,1,-1,0,3,1
35,1,0,1,no,0,1,0,2,20,8,1205,1,-1,0,3,1
29,7,2,1,no,271,1,0,2,20,8,1882,2,-1,0,3,1
35,1,1,0,no,102,1,0,2,20,8,1334,1,-1,0,3,1
31,1,1,1,no,2,1,0,2,20,8,182,2,-1,0,3,1
35,7,1,1,no,4170,1,0,2,20,8,1777,1,-1,0,3,1
34,9,2,1,no,85,1,0,2,20,8,1182,4,-1,0,3,1
31,0,2,1,no,431,1,1,2,20,8,1045,1,-1,0,3,1
44,9,0,1,no,982,1,0,2,20,8,650,3,-1,0,3,1
36,1,1,0,no,408,1,1,2,20,8,1063,2,-1,0,3,1
35,1,1,3,no,4822,1,0,2,20,8,843,2,-1,0,3,1
41,1,1,0,no,1250,1,0,2,20,8,1392,2,-1,0,3,1
31,1,2,0,no,216,1,0,2,21,8,565,1,-1,0,3,1
34,1,1,1,no,1207,1,0,2,21,8,905,1,-1,0,3,1
32,9,1,1,no,791,1,0,2,21,8,783,2,-1,0,3,1
36,4,1,2,no,849,1,1,2,21,8,958,2,-1,0,3,1
30,1,2,1,yes,239,1,0,2,21,8,412,1,-1,0,3,1
37,9,2,1,no,1211,1,0,2,21,8,795,1,-1,0,3,1
36,1,1,0,no,599,1,0,2,21,8,649,2,-1,0,3,1
31,4,2,2,no,825,1,0,2,21,8,506,2,-1,0,3,1
27,9,1,1,no,2183,1,1,2,21,8,857,1,-1,0,3,1
34,5,1,0,no,4499,0,0,2,21,8,1681,1,-1,0,3,1
30,9,2,2,no,1289,1,0,2,21,8,1697,2,-1,0,3,1
32,9,2,2,no,4665,1,0,2,21,8,860,2,-1,0,3,1
37,9,2,1,no,3326,1,0,2,21,8,799,1,-1,0,3,1
32,1,1,1,no,783,1,0,2,21,8,923,3,-1,0,3,1
33,1,1,1,no,0,1,0,2,21,8,521,3,-1,0,3,1
35,1,1,0,no,994,1,0,2,23,8,1349,8,-1,0,3,1
35,6,0,2,no,1354,1,0,2,23,8,736,2,-1,0,3,1
30,1,2,1,no,239,1,0,2,23,8,785,1,-1,0,3,1
45,1,0,0,no,-311,1,0,2,23,8,1030,1,-1,0,3,1
45,0,1,1,no,149,1,0,2,23,8,893,3,-1,0,3,1
33,1,1,1,no,1464,1,0,2,23,8,588,3,-1,0,3,1
44,4,0,2,no,5773,0,0,2,23,8,597,6,-1,0,3,1
40,1,1,0,no,278,1,0,2,23,8,1015,3,-1,0,3,1
31,1,1,1,no,2910,1,0,2,23,8,1392,2,-1,0,3,1
30,9,1,2,no,541,1,0,2,26,8,414,2,-1,0,3,1
44,9,0,1,no,1262,1,0,2,26,8,788,11,-1,0,3,1
34,7,1,1,no,-538,1,0,2,26,8,682,1,-1,0,3,1
37,1,1,1,no,125,0,0,2,26,8,679,2,-1,0,3,1
28,6,2,2,no,0,1,0,2,26,8,1560,2,-1,0,3,1
32,0,2,1,no,620,1,0,2,26,8,1234,3,-1,0,3,1
37,1,0,1,no,316,1,0,2,26,8,642,2,-1,0,3,1
34,4,1,2,no,2287,1,0,2,26,8,895,4,-1,0,3,1
38,0,0,1,no,198,1,0,2,26,8,431,2,-1,0,3,1
28,0,2,1,no,460,1,0,2,26,8,741,6,-1,0,3,1
31,4,0,2,no,1145,1,0,2,26,8,1272,4,-1,0,3,1
59,7,1,1,no,-22,1,0,2,26,8,748,3,-1,0,3,1
24,1,1,1,no,685,1,0,2,26,8,896,3,-1,0,3,1
26,7,2,1,no,901,1,0,2,26,8,764,2,-1,0,3,1
59,5,2,1,no,351,1,0,2,27,8,1063,5,-1,0,3,1
30,2,2,0,no,0,1,1,2,27,8,1051,1,-1,0,3,1
37,0,1,1,no,274,1,0,2,27,8,731,3,-1,0,3,1
30,0,2,1,no,-213,1,1,2,27,8,751,1,-1,0,3,1
25,1,1,1,no,97,1,0,2,27,8,709,1,-1,0,3,1
44,7,0,1,no,51,1,1,2,27,8,3094,2,-1,0,3,1
29,4,1,2,no,314,0,0,2,28,8,938,2,-1,0,3,1
26,4,2,2,no,6840,1,0,2,28,8,1560,2,-1,0,3,1
26,9,2,1,no,668,1,0,2,28,8,576,3,-1,0,3,1
27,7,2,1,no,54,1,0,2,28,8,543,2,-1,0,3,1
25,6,2,1,no,1242,1,0,2,28,8,615,2,-1,0,3,1
28,4,1,1,no,292,1,0,2,28,8,507,1,-1,0,3,1
23,7,2,1,no,665,1,0,2,28,8,1183,1,-1,0,3,1
34,4,2,2,no,1058,1,0,2,28,8,864,2,-1,0,3,1
28,8,2,1,no,949,1,0,2,28,8,1730,1,-1,0,3,1
51,2,1,3,no,606,1,0,2,28,8,560,9,-1,0,3,1
35,1,1,1,no,0,1,1,2,29,8,543,1,-1,0,3,1
35,0,1,1,no,404,1,0,2,29,8,539,1,-1,0,3,1
56,1,1,1,no,249,1,0,2,29,8,791,2,-1,0,3,1
45,10,0,1,no,3354,1,0,2,29,8,746,1,-1,0,3,1
60,1,0,1,no,0,1,0,2,29,8,1207,1,-1,0,3,1
56,9,1,1,no,589,1,0,2,29,8,535,2,-1,0,3,1
27,4,2,2,no,12956,1,0,2,29,8,789,3,-1,0,3,1
30,0,1,1,no,873,1,0,2,29,8,792,3,-1,0,3,1
45,1,0,0,no,594,1,0,2,29,8,833,2,-1,0,3,1
29,1,2,1,no,-20,1,0,2,29,8,814,2,-1,0,3,1
38,4,0,2,no,4692,1,0,2,29,8,1363,2,-1,0,3,1
30,1,1,1,no,486,1,0,2,29,8,1109,3,-1,0,3,1
44,1,2,0,no,1593,1,0,2,29,8,828,3,-1,0,3,1
36,4,2,2,no,7606,1,0,2,30,8,917,1,-1,0,3,1
38,9,1,1,no,226,1,0,2,30,8,762,3,-1,0,3,1
36,1,2,1,no,366,1,1,2,30,8,1133,2,-1,0,3,1
37,4,0,1,no,16,1,0,2,30,8,638,1,-1,0,3,1
35,4,2,2,no,565,1,0,2,30,8,763,1,-1,0,3,1
38,0,0,1,no,19,1,0,2,30,8,604,2,-1,0,3,1
40,7,1,0,no,1082,1,0,2,30,8,854,2,-1,0,3,1
42,10,0,1,no,1713,1,0,2,30,8,855,2,-1,0,3,1
46,4,0,2,no,14481,1,0,2,30,8,1269,1,-1,0,3,1
35,9,0,1,no,5724,1,0,2,30,8,691,10,-1,0,3,1
34,9,0,1,no,1451,1,0,2,30,8,1097,15,-1,0,3,1
32,7,1,1,no,-34,1,0,2,30,8,1236,2,-1,0,3,1
50,10,1,1,no,3674,1,0,2,30,8,886,3,-1,0,3,1
35,1,1,1,no,698,1,1,2,30,8,1343,3,-1,0,3,1
36,9,2,1,no,4136,1,0,2,30,8,812,3,-1,0,3,1
53,1,0,0,no,2656,1,0,2,30,8,1980,2,-1,0,3,1
46,4,2,2,no,2904,1,0,2,30,8,984,2,-1,0,3,1
26,4,2,2,no,1004,1,0,2,30,8,228,2,-1,0,3,1
45,9,2,1,no,410,1,0,2,30,8,891,4,-1,0,3,1
31,10,0,0,no,0,1,0,2,30,8,745,12,-1,0,3,1
29,4,2,2,no,0,1,0,2,30,8,539,12,-1,0,3,1
53,2,2,1,no,62,1,0,2,30,8,1044,5,-1,0,3,1
27,1,1,0,no,416,1,0,2,30,8,1193,2,-1,0,3,1
39,4,1,2,no,2763,1,0,2,2,6,526,2,-1,0,3,1
36,7,1,1,no,2984,1,0,2,2,6,394,1,-1,0,3,1
41,1,1,0,no,143,1,1,2,2,6,659,2,-1,0,3,1
36,7,1,0,no,0,1,0,2,2,6,1036,1,-1,0,3,1
32,9,1,1,no,696,1,0,2,2,6,815,1,-1,0,3,1
35,7,1,1,no,152,1,0,2,2,6,563,1,-1,0,3,1
36,4,2,2,no,-78,1,0,2,2,6,1068,1,-1,0,3,1
35,4,1,2,no,867,1,0,2,2,6,230,3,-1,0,3,1
30,1,2,1,no,953,1,0,2,2,6,747,2,-1,0,3,1
42,1,1,1,no,443,1,0,2,2,6,671,5,-1,0,3,1
42,9,2,1,yes,-1129,1,0,2,2,6,555,5,-1,0,3,1
32,1,1,0,no,415,1,0,2,2,6,777,4,-1,0,3,1
29,1,2,1,no,260,1,0,2,2,6,707,14,-1,0,3,1
44,4,0,2,yes,-411,1,0,2,2,6,432,4,-1,0,3,1
32,9,2,1,no,1279,1,0,2,3,6,1173,3,-1,0,3,1
31,10,1,1,no,86,1,1,2,3,6,963,2,-1,0,3,1
40,6,1,1,yes,-754,1,1,2,3,6,941,3,-1,0,3,1
43,2,1,1,no,0,0,0,2,3,6,1025,7,-1,0,3,1
27,4,2,1,no,178,1,0,2,3,6,732,2,-1,0,3,1
37,7,2,1,no,278,1,0,2,3,6,1045,3,-1,0,3,1
23,7,2,1,no,425,1,0,2,3,6,768,1,-1,0,3,1
25,4,1,0,no,168,1,0,2,3,6,801,1,-1,0,3,1
26,1,2,1,yes,-36,1,0,2,3,6,482,2,-1,0,3,1
47,1,0,0,no,126,1,0,2,3,6,2456,2,-1,0,3,1
35,0,1,1,no,-87,1,0,2,3,6,1363,7,-1,0,3,1
32,9,2,2,no,6281,1,0,2,3,6,1336,4,-1,0,3,1
45,4,0,1,no,644,1,0,2,4,6,633,1,-1,0,3,1
30,0,0,1,no,377,1,0,2,4,6,524,15,-1,0,3,1
29,7,2,1,no,-271,1,0,2,4,6,578,1,-1,0,3,1
38,1,1,0,no,5839,1,0,2,4,6,984,2,-1,0,3,1
23,1,2,1,no,492,1,0,2,4,6,638,1,-1,0,3,1
27,4,2,2,no,99,1,0,2,4,6,767,2,-1,0,3,1
27,4,2,2,yes,-713,1,0,2,4,6,525,2,-1,0,3,1
29,7,2,1,no,32,1,0,2,4,6,563,1,-1,0,3,1
30,6,1,2,no,543,1,1,2,4,6,1449,6,-1,0,3,1
36,1,1,0,no,403,1,0,2,4,6,920,1,-1,0,3,1
35,0,0,1,no,437,1,0,2,4,6,908,1,-1,0,3,1
36,1,1,1,no,1772,0,0,2,5,6,208,1,-1,0,3,1
59,5,0,0,no,-88,1,0,2,5,6,910,2,-1,0,3,1
47,2,1,1,no,0,0,0,2,5,6,1446,1,-1,0,3,1
58,2,1,2,no,853,0,0,2,5,6,1149,2,-1,0,3,1
37,4,2,2,no,240,0,0,2,5,6,1123,1,-1,0,3,1
46,0,2,1,no,849,1,0,2,5,6,508,2,-1,0,3,1
43,1,2,1,no,318,1,0,2,5,6,736,2,-1,0,3,1
27,4,2,2,no,703,1,0,2,5,6,590,3,-1,0,3,1
38,7,0,1,no,61,0,0,2,5,6,636,1,-1,0,3,1
53,3,1,0,no,104,0,1,2,5,6,701,1,-1,0,3,1
47,1,1,1,no,1996,0,0,2,5,6,761,2,-1,0,3,1
56,3,0,0,yes,1238,0,0,2,5,6,1558,1,-1,0,3,1
41,3,1,1,no,879,0,0,2,5,6,1053,2,-1,0,3,1
29,6,1,1,no,425,1,0,2,5,6,562,15,-1,0,3,1
50,9,1,1,no,416,1,0,2,5,6,494,5,-1,0,3,1
45,1,0,0,no,844,0,0,2,5,6,1018,3,-1,0,3,1
35,1,1,1,no,860,1,0,2,5,6,884,4,-1,0,3,1
26,9,2,1,no,639,1,0,2,6,6,709,5,-1,0,3,1
26,0,1,1,no,710,1,1,2,6,6,1276,2,-1,0,3,1
37,1,1,3,no,1508,0,1,2,6,6,381,2,-1,0,3,1
30,0,2,1,no,223,1,0,2,6,6,862,11,-1,0,3,1
38,4,2,2,no,619,1,0,2,6,6,460,4,-1,0,3,1
37,7,0,1,no,319,1,0,2,6,6,467,3,-1,0,3,1
53,9,1,1,no,480,0,0,2,6,6,648,2,-1,0,3,1
29,1,2,0,no,213,1,0,2,6,6,2653,3,-1,0,3,1
35,4,2,2,no,68,0,0,2,6,6,1085,1,-1,0,3,1
28,1,1,1,no,2788,1,0,2,6,6,369,2,-1,0,3,1
55,1,1,3,no,7561,0,0,2,6,6,685,3,-1,0,3,1
